date,crop,price
2025-10-07,wheat,1955.0702522068086
2025-10-08,wheat,1960.925352197979
2025-10-09,wheat,1953.0188989694889
2025-10-10,wheat,1993.2474770705337
2025-07-13,rice,2375.1294342135525
2025-07-14,rice,2408.802570908429
2025-07-15,rice,2407.6072897815166
2025-07-16,rice,2412.8483550833707
2025-07-17,rice,2411.3026744576764
2025-07-18,rice,2429.2801650701253
2025-07-19,rice,2447.0908193447012
2025-07-20,rice,2449.429654356435
2025-07-21,rice,2461.234740009211
2025-07-22,rice,2404.5902589174284
2025-07-23,rice,2403.0474054464858
2025-07-24,rice,2407.13908646035
2025-07-25,rice,2422.0826130823257
2025-07-26,rice,2452.184335893756
2025-07-27,rice,2415.8895504400375
2025-07-28,rice,2402.4237274873776
2025-07-29,rice,2364.8426075799944
2025-07-30,rice,2386.7121368902976
2025-07-31,rice,2380.7368105795426
2025-08-01,rice,2382.925680614979
2025-08-02,rice,2386.618114744192
2025-08-03,rice,2375.1324658424505
2025-08-04,rice,2397.335838317758
2025-08-05,rice,2347.8361867222984
2025-08-06,rice,2368.829939429831
2025-08-07,rice,2368.9436411921142
2025-08-08,rice,2400.255535522267
2025-08-09,rice,2363.521932464897
2025-08-10,rice,2386.6039108611735
2025-08-11,rice,2417.1246255088886
2025-08-12,rice,2412.1161857308466
2025-08-13,rice,2366.765520843212
2025-08-14,rice,2411.3604400719505
2025-08-15,rice,2440.323585637737
2025-08-16,rice,2418.0687936635813
2025-08-17,rice,2408.439600525507
2025-08-18,rice,2440.2455568188675
2025-08-19,rice,2440.4825137322678
2025-08-20,rice,2462.826907184313
2025-08-21,rice,2436.173071584198
2025-08-22,rice,2441.0809760766006
2025-08-23,rice,2435.4673486858073
2025-08-24,rice,2446.4567220266586
2025-08-25,rice,2440.593980018599
2025-08-26,rice,2387.0876468966862
2025-08-27,rice,2408.902793372167
2025-08-28,rice,2432.2127816256734
2025-08-29,rice,2373.4864923231517
2025-08-30,rice,2382.731419265522
2025-08-31,rice,2402.231836262983
2025-09-01,rice,2381.1878722140273
2025-09-02,rice,2383.660718706411
2025-09-03,rice,2363.191861903707
2025-09-04,rice,2367.0843841922824
2025-09-05,rice,2399.3400114099895
2025-09-06,rice,2367.210624192607
2025-09-07,rice,2359.3135664888337
2025-09-08,rice,2332.699377264322
2025-09-09,rice,2338.955586710594
2025-09-10,rice,2382.037894070567
2025-09-11,rice,2367.131656634817
2025-09-12,rice,2404.0810157153182
2025-09-13,rice,2413.9991761810807
2025-09-14,rice,2401.3596918489206
2025-09-15,rice,2418.993224467485
2025-09-16,rice,2405.539499290518
2025-09-17,rice,2418.676338019691
2025-09-18,rice,2409.144963407669
2025-09-19,rice,2427.3753280141837
2025-09-20,rice,2390.851391461601
2025-09-21,rice,2422.914393757366
2025-09-22,rice,2418.1630034090717
2025-09-23,rice,2440.631011855469
2025-09-24,rice,2446.0076913478324
2025-09-25,rice,2384.9389351270297
2025-09-26,rice,2425.937816959269
2025-09-27,rice,2424.657285469195
2025-09-28,rice,2423.3824404155166
2025-09-29,rice,2418.2656636944175
2025-09-30,rice,2387.7173772508513
2025-10-01,rice,2395.6300144675383
2025-10-02,rice,2368.929706161393
2025-10-03,rice,2400.7768659793605
2025-10-04,rice,2390.1804049869083
2025-10-05,rice,2387.970884974976
2025-10-06,rice,2363.3481959575433
2025-10-07,rice,2350.725055380023
2025-10-08,rice,2363.1107998348666
2025-10-09,rice,2400.733933190411
2025-10-10,rice,2395.6130088522555
2025-07-13,maize,1517.1915630890508
2025-07-14,maize,1500.101803571926
2025-07-15,maize,1528.5041302040247
2025-07-16,maize,1504.949149719115
2025-07-17,maize,1529.4220401851398
2025-07-18,maize,1551.8017556897364
2025-07-19,maize,1542.3347589502023
2025-07-20,maize,1536.2946995205705
2025-07-21,maize,1516.8707259500716
2025-07-22,maize,1539.9505454457867
2025-07-23,maize,1533.6287965936365
2025-07-24,maize,1496.8083836059166
2025-07-25,maize,1523.1737408377182
2025-07-26,maize,1505.317901598067
2025-07-27,maize,1517.4298498849125
2025-07-28,maize,1538.9282341141427
2025-07-29,maize,1481.5369460231886
2025-07-30,maize,1505.4578826045024
2025-07-31,maize,1458.2265583705955
2025-08-01,maize,1482.5076255601718
2025-08-02,maize,1496.5590321039242
2025-08-03,maize,1469.195020404681
2025-08-04,maize,1482.5622854846306
2025-08-05,maize,1454.1531112660484
2025-08-06,maize,1468.6524736420156
2025-08-07,maize,1464.405956656603
2025-08-08,maize,1471.6765758062008
2025-08-09,maize,1482.5377112926835
2025-08-10,maize,1436.5261836393408
2025-08-11,maize,1478.3344427312932
2025-08-12,maize,1513.7108627171053
2025-08-13,maize,1487.9315637073853
2025-08-14,maize,1530.1917891022792
2025-08-15,maize,1461.5307311693705
2025-08-16,maize,1477.7489140082007
2025-08-17,maize,1529.0079993037582
2025-08-18,maize,1502.7849132248264
2025-08-19,maize,1568.8775937157206
2025-08-20,maize,1513.4788041392962
2025-08-21,maize,1523.2637176819244
2025-08-22,maize,1537.5526189513985
2025-08-23,maize,1522.4957063012023
2025-08-24,maize,1525.2293609268454
2025-08-25,maize,1563.0165249048212
2025-08-26,maize,1506.400451851941
2025-08-27,maize,1552.7692485760083
2025-08-28,maize,1511.6555890805466
2025-08-29,maize,1503.883415299252
2025-08-30,maize,1495.5542088874172
2025-08-31,maize,1470.10035584248
2025-09-01,maize,1499.3188858893875
2025-09-02,maize,1471.6388685779386
2025-09-03,maize,1491.5228081545076
2025-09-04,maize,1481.7059138341467
2025-09-05,maize,1476.9598302624809
2025-09-06,maize,1461.3451885738764
2025-09-07,maize,1483.764138928514
2025-09-08,maize,1478.7213474793234
2025-09-09,maize,1465.5750937034036
2025-09-10,maize,1450.0203460198136
2025-09-11,maize,1502.2469962621033
2025-09-12,maize,1482.3223066893763
2025-09-13,maize,1513.0314269328528
2025-09-14,maize,1499.3919612813165
2025-09-15,maize,1527.3964997036553
2025-09-16,maize,1518.5928729222871
2025-09-17,maize,1567.6643182814125
2025-09-18,maize,1494.4033939287804
2025-09-19,maize,1495.7885453923352
2025-09-20,maize,1522.0811894894564
2025-09-21,maize,1548.9052183712452
2025-09-22,maize,1510.2554841911888
2025-09-23,maize,1547.028353832977
2025-09-24,maize,1567.2764665554025
2025-09-25,maize,1577.7206031840833
2025-09-26,maize,1539.0078877893447
2025-09-27,maize,1506.0196326200398
2025-09-28,maize,1521.731616867816
2025-09-29,maize,1489.8161754098307
2025-09-30,maize,1482.3065159908524
2025-10-01,maize,1512.1031514142621
2025-10-02,maize,1473.4804989343622
2025-10-03,maize,1497.5542143313753
2025-10-04,maize,1484.4466302044511
2025-10-05,maize,1480.1801008750456
2025-10-06,maize,1481.9405053328142
2025-10-07,maize,1485.4603942662998
2025-10-08,maize,1492.750346191527
2025-10-09,maize,1481.756577655112
2025-10-10,maize,1481.728325447801
